task_id,ccg_time,ccg_program_len,ccg_rank_time_then_proglen,ccg_rank_proglen_then_time,ccgbr_time,ccgbr_program_len,ccgbr_rank_time_then_proglen,ccgbr_rank_proglen_then_time,ccgbr2_time,ccgbr2_program_len,ccgbr2_rank_time_then_proglen,ccgbr2_rank_proglen_then_time,lrg_time,lrg_program_len,lrg_rank_time_then_proglen,lrg_rank_proglen_then_time,mcccg_time,mcccg_program_len,mcccg_rank_time_then_proglen,mcccg_rank_proglen_then_time,na_time,na_program_len,na_rank_time_then_proglen,na_rank_proglen_then_time,nbccg_time,nbccg_program_len,nbccg_rank_time_then_proglen,nbccg_rank_proglen_then_time,nbhcg_time,nbhcg_program_len,nbhcg_rank_time_then_proglen,nbhcg_rank_proglen_then_time,nbvcg_time,nbvcg_program_len,nbvcg_rank_time_then_proglen,nbvcg_rank_proglen_then_time
00d62c1b.json,1800.026050,0,,,2.531682,1,1,1,2.200454,1,1,1,1800.033203,0,,,1800.026969,0,,,344.909024,0,,,1800.103425,0,,,1800.013390,0,,,1800.019281,0,,
1e0a9b12.json,1800.002048,0,,,1800.001234,0,,,1800.002076,0,,,13.974087,2,2,2,1800.012424,0,,,3.414196,0,,,23.865371,2,4,4,8.055982,2,1,1,14.868470,2,2,2
3aa6fb7a.json,1800.000661,0,,,10.281895,0,,,15.418834,0,,,1800.009116,0,,,0.043297,1,1,1,0.104812,0,,,0.045061,1,1,1,1800.002683,0,,,1800.003105,0,,
3c9b0459.json,1800.001651,0,,,0.149858,0,,,0.125052,0,,,1800.015757,0,,,1800.014848,0,,,0.038606,1,1,1,1800.037808,0,,,1800.003358,0,,,1800.009632,0,,
05f2a901.json,1800.001912,0,,,0.493926,0,,,0.874789,0,,,1800.014757,0,,,0.131499,0,,,1800.014152,0,,,0.056593,1,1,1,1800.015757,0,,,1800.005062,0,,
6c434453.json,1800.004044,0,,,1800.001880,0,,,1800.006393,0,,,1800.018757,0,,,14.500759,2,2,2,20.889668,0,,,12.658760,2,1,1,1800.009632,0,,,1800.020583,0,,
6d75e8bb.json,1800.000695,0,,,21.051858,0,,,23.304916,0,,,1800.005771,0,,,0.050690,1,1,1,1800.004575,0,,,0.106744,1,1,1,1800.036736,0,,,1800.006491,0,,
6e82a1ae.json,11.743849,3,4,4,5.366250,3,2,2,4.285479,3,1,1,1800.003604,0,,,1800.002797,0,,,23.971102,0,,,8.284288,3,3,3,1800.002673,0,,,1800.007307,0,,
7f4411dc.json,1800.306573,0,,,1800.004258,0,,,1800.002546,0,,,4.065453,1,1,1,814.054739,0,,,0.192347,0,,,1800.020197,0,,,615.473001,3,2,2,1800.021494,0,,
08ed6ac7.json,45.562691,0,,,5.282360,4,1,1,4.512631,4,1,1,2.983321,0,,,1800.005080,0,,,0.093513,0,,,6.388476,4,3,3,1800.021100,0,,,83.389066,0,,
