task_id,nbccg,na,ccgbr
00d62c1b,No,No,Yes
05f2a901,Yes,No,No
08ed6ac7,Yes,No,Yes
1e0a9b12,Yes,No,No
25d8a9c8,No,No,No
25ff71a9,Yes,No,No
3618c87e,Yes,No,No
3906de3d,No,No,No
3aa6fb7a,Yes,No,No
3c9b0459,No,Yes,No
4258a5f9,Yes,No,No
4347f46a,Yes,No,No
50cb2852,Yes,No,No
543a7ed5,No,No,No
5582e5ca,No,No,No
6150a2bd,No,Yes,No
6455b5f5,No,No,No
67385a82,Yes,No,Yes
67a3c6ac,No,Yes,No
6855a6e4,Yes,No,No
68b16354,No,Yes,No
694f12f3,Yes,No,No
6c434453,Yes,No,No
6d75e8bb,Yes,No,No
6e82a1ae,Yes,No,Yes
74dd1130,No,Yes,No
7f4411dc,No,No,No
810b9b61,Yes,No,Yes
868de0fa,No,No,No
88a10436,No,No,No
913fb3ed,No,No,No
9565186b,Yes,No,No
9dfd6313,No,Yes,No
a5313dff,No,No,Yes
a79310a0,Yes,No,No
aabf363d,Yes,No,Yes
ae3edfdc,Yes,No,No
aedd82e4,Yes,No,Yes
b1948b0a,Yes,No,Yes
b27ca6d3,Yes,No,No
b2862040,No,No,No
bb43febb,Yes,No,No
c0f76784,No,No,No
c8f0f002,Yes,No,No
ce22a75a,Yes,No,No
d037b0a7,Yes,No,No
d2abd087,Yes,No,Yes
d43fd935,Yes,No,No
d5d6de2d,Yes,No,Yes
dc1df850,Yes,No,No
ddf7fa4f,Yes,No,Yes
ea32f347,Yes,No,Yes
ed36ccf7,No,Yes,No
f8a8fe49,Yes,No,No
